"FAT_YEARMONTH","FAT_DAY","FAT_TIME","FATALITY_ID","EVENT_ID","FATALITY_TYPE","FATALITY_DATE","FATALITY_AGE","FATALITY_SEX","FATALITY_LOCATION","EVENT_YEARMONTH"
199710,20,0,1002218,5622108,"D","10/20/1997 12:00:00",20,"M","Under Tree",199710
199710,11,0,1002222,5621529,"D","10/11/1997 12:00:00",14,"M","In Water",199710
199710,11,0,1002223,5621529,"D","10/11/1997 12:00:00",13,"M","In Water",199710
199710,25,0,1002232,5621282,"D","10/25/1997 12:00:00",74,"F","Outside/Open Areas",199710
199710,31,0,1002239,5619753,"D","10/31/1997 12:00:00",61,"M","Vehicle/Towed Trailer",199710
199710,13,0,1002273,5625131,"D","10/13/1997 12:00:00",46,"M","In Water",199710
199710,4,0,1002170,5619478,"D","10/04/1997 12:00:00",57,"M","Permanent Home",199710
199710,13,0,1002182,5616517,"D","10/13/1997 12:00:00",35,"M","In Water",199710
199711,2,0,1002288,5623591,"D","11/02/1997 12:00:00",73,"M","Boat",199711
199711,20,0,1002201,5621703,"D","11/20/1997 12:00:00",76,"M","Vehicle/Towed Trailer",199711
199711,4,0,1002203,5621705,"D","11/04/1997 12:00:00",49,"M","Vehicle/Towed Trailer",199711
199711,9,0,1002224,5621552,"D","11/09/1997 12:00:00",81,"M","Vehicle/Towed Trailer",199711
199711,26,0,1002225,5622013,"D","11/26/1997 12:00:00",14,"F","In Water",199711
199711,26,0,1002226,5622013,"D","11/26/1997 12:00:00",14,"F","In Water",199711
199711,26,0,1002227,5622013,"D","11/26/1997 12:00:00",17,"M","In Water",199711
199701,30,0,1002270,5626674,"D","01/30/1997 12:00:00",30,"M","In Water",199701
199701,30,0,1002271,5626674,"D","01/30/1997 12:00:00",33,"M","In Water",199701
199711,18,0,1002229,5622287,"D","11/18/1997 12:00:00",53,"M","Outside/Open Areas",199711
199711,30,0,1002230,5619776,"D","11/30/1997 12:00:00",88,"F","Outside/Open Areas",199711
199711,8,0,1002233,5619694,"D","11/08/1997 12:00:00",82,"M","In Water",199711
199711,29,0,1002240,5621005,"D","11/29/1997 12:00:00",92,"F","Outside/Open Areas",199711
199711,19,0,1002255,5625381,"D","11/19/1997 12:00:00",60,"M","Other",199711
199711,19,0,1002256,5625381,"D","11/19/1997 12:00:00",54,"F","Other",199711
199711,27,0,1002257,5626587,"D","11/27/1997 12:00:00",31,"F","Under Tree",199711
199711,30,0,1001709,5587268,"D","11/30/1997 12:00:00",88,"F","Outside/Open Areas",199711
199712,1,0,1002281,5624368,"D","12/01/1997 12:00:00",20,"M","Vehicle/Towed Trailer",199712
199712,24,0,1002282,5623701,"D","12/24/1997 12:00:00",51,"M","Outside/Open Areas",199712
199712,10,0,1002289,5623645,"D","12/10/1997 12:00:00",40,"M","Other",199712
199712,11,0,1002280,5624156,"D","12/11/1997 12:00:00",NA,"","Vehicle/Towed Trailer",199712
199712,20,0,1002234,5620119,"D","12/20/1997 12:00:00",45,"M","Other",199712
199712,12,0,1002237,5620562,"D","12/12/1997 12:00:00",35,"M","Outside/Open Areas",199712
199712,6,0,1002238,5619554,"D","12/06/1997 12:00:00",40,"F","Camping",199712
199712,20,0,1002244,5620067,"D","12/20/1997 12:00:00",52,"M","Vehicle/Towed Trailer",199712
199712,11,0,1002245,5626419,"D","12/11/1997 12:00:00",73,"F","Outside/Open Areas",199712
199712,8,0,1002246,5626424,"D","12/08/1997 12:00:00",73,"M","Vehicle/Towed Trailer",199712
199712,20,0,1002248,5626885,"D","12/20/1997 12:00:00",15,"F","Vehicle/Towed Trailer",199712
199712,20,0,1002249,5626885,"D","12/20/1997 12:00:00",17,"M","Vehicle/Towed Trailer",199712
199712,30,0,1002251,5625051,"D","12/30/1997 12:00:00",57,"F","Vehicle/Towed Trailer",199712
199712,30,0,1002252,5625051,"D","12/30/1997 12:00:00",5,"M","Vehicle/Towed Trailer",199712
199712,30,0,1002253,5625053,"D","12/30/1997 12:00:00",68,"M","Vehicle/Towed Trailer",199712
199712,24,0,1002258,5626631,"D","12/24/1997 12:00:00",83,"M","Outside/Open Areas",199712
199712,30,0,1002259,5626923,"D","12/30/1997 12:00:00",47,"M","Outside/Open Areas",199712
199712,11,0,1002260,5626266,"D","12/11/1997 12:00:00",31,"M","Outside/Open Areas",199712
199712,10,0,1002261,5626268,"D","12/10/1997 12:00:00",44,"M","Outside/Open Areas",199712
199712,21,0,1002263,5624544,"D","12/21/1997 12:00:00",54,"M","Vehicle/Towed Trailer",199712
199712,24,0,1002264,5624740,"D","12/24/1997 12:00:00",21,"M","Vehicle/Towed Trailer",199712
199712,27,0,1002265,5625096,"D","12/27/1997 12:00:00",69,"M","Outside/Open Areas",199712
199712,28,0,1002266,5625097,"D","12/28/1997 12:00:00",62,"F","Outside/Open Areas",199712
199712,27,0,1002267,5625098,"D","12/27/1997 12:00:00",28,"F","Outside/Open Areas",199712
199712,5,0,1002274,5626855,"D","12/05/1997 12:00:00",65,"F","Vehicle/Towed Trailer",199712
199712,22,0,1002275,5625684,"D","12/22/1997 12:00:00",46,"F","In Water",199712
199712,11,0,1002277,5624156,"D","12/11/1997 12:00:00",47,"M","Vehicle/Towed Trailer",199712
199712,11,0,1002278,5624156,"D","12/11/1997 12:00:00",38,"M","Vehicle/Towed Trailer",199712
199712,11,0,1002279,5624156,"D","12/11/1997 12:00:00",NA,"M","Vehicle/Towed Trailer",199712
199706,30,0,1001982,5609402,"D","06/30/1997 12:00:00",77,"F","Permanent Home",199706
199706,30,0,1001983,5609402,"D","06/30/1997 12:00:00",37,"F","Permanent Home",199706
199707,12,0,1001963,5602702,"D","07/12/1997 12:00:00",34,"M","Permanent Home",199707
199707,1,0,1001966,5602894,"D","07/01/1997 12:00:00",40,"M","In Water",199707
199707,23,0,1001956,5602088,"D","07/23/1997 12:00:00",32,"F","Permanent Home",199707
199707,3,0,1002192,5617336,"D","07/03/1997 12:00:00",22,"M","Outside/Open Areas",199707
199707,15,0,1002199,5622901,"D","07/15/1997 12:00:00",21,"M","Outside/Open Areas",199707
199707,18,0,1002200,5622902,"D","07/18/1997 12:00:00",52,"M","Camping",199707
199707,3,0,1002228,5623088,"D","07/03/1997 12:00:00",21,"M","In Water",199707
199707,21,0,1002241,5621294,"D","07/21/1997 12:00:00",42,"M","Outside/Open Areas",199707
199707,18,0,1002087,5610979,"D","07/18/1997 12:00:00",85,"F","Permanent Home",199707
199707,16,0,1002088,5610979,"D","07/16/1997 12:00:00",34,"F","Vehicle/Towed Trailer",199707
199707,28,0,1002089,5610983,"D","07/28/1997 12:00:00",60,"M","Permanent Home",199707
199707,27,0,1002090,5611120,"D","07/27/1997 12:00:00",35,"M","Outside/Open Areas",199707
199707,9,0,1002071,5610306,"D","07/09/1997 12:00:00",43,"M","Vehicle/Towed Trailer",199707
199707,18,0,1002072,5610409,"D","07/18/1997 12:00:00",20,"M","Outside/Open Areas",199707
199707,18,0,1002073,5610413,"D","07/18/1997 12:00:00",NA,"","Outside/Open Areas",199707
199707,18,0,1002074,5610419,"D","07/18/1997 12:00:00",45,"M","Outside/Open Areas",199707
199707,18,0,1002075,5610419,"D","07/18/1997 12:00:00",41,"M","Outside/Open Areas",199707
199707,27,0,1002081,5609653,"D","07/27/1997 12:00:00",70,"F","Permanent Home",199707
199707,26,0,1002082,5609666,"D","07/26/1997 12:00:00",64,"M","Outside/Open Areas",199707
199707,14,0,1002084,5610979,"D","07/14/1997 12:00:00",72,"M","Permanent Home",199707
199707,14,0,1002085,5610979,"D","07/14/1997 12:00:00",80,"F","Permanent Home",199707
199707,14,0,1002086,5610979,"D","07/14/1997 12:00:00",54,"M","Permanent Home",199707
199707,18,0,1002091,5611120,"D","07/18/1997 12:00:00",62,"F","Permanent Home",199707
199707,16,0,1002092,5611230,"D","07/16/1997 12:00:00",64,"F","Permanent Home",199707
199707,17,0,1002093,5611230,"D","07/17/1997 12:00:00",72,"M","Permanent Home",199707
199707,5,0,1002094,5610361,"D","07/05/1997 12:00:00",53,"F","In Water",199707
199707,12,0,1002110,5616337,"D","07/12/1997 12:00:00",47,"M","Golfing",199707
199707,20,0,1002118,5615670,"D","07/20/1997 12:00:00",81,"F","Permanent Home",199707
199707,17,0,1002138,5614392,"D","07/17/1997 12:00:00",55,"M","Permanent Home",199707
199707,15,0,1002139,5614487,"D","07/15/1997 12:00:00",90,"F","Permanent Home",199707
199707,17,0,1002140,5614487,"D","07/17/1997 12:00:00",81,"M","Permanent Home",199707
199707,17,0,1002141,5614487,"D","07/17/1997 12:00:00",81,"F","Permanent Home",199707
199707,17,0,1002142,5614487,"D","07/17/1997 12:00:00",66,"M","Permanent Home",199707
199707,18,0,1002143,5614487,"D","07/18/1997 12:00:00",58,"M","Permanent Home",199707
199707,18,0,1002144,5614487,"D","07/18/1997 12:00:00",79,"F","Permanent Home",199707
199707,18,0,1002145,5614487,"D","07/18/1997 12:00:00",84,"M","Permanent Home",199707
199707,18,0,1002146,5614487,"D","07/18/1997 12:00:00",83,"F","Permanent Home",199707
199707,18,0,1002147,5614487,"D","07/18/1997 12:00:00",60,"M","Permanent Home",199707
199707,18,0,1002148,5614487,"D","07/18/1997 12:00:00",77,"F","Permanent Home",199707
199707,18,0,1002149,5614487,"D","07/18/1997 12:00:00",72,"F","Permanent Home",199707
199707,18,0,1002150,5614487,"D","07/18/1997 12:00:00",89,"F","Permanent Home",199707
199707,18,0,1002151,5614487,"D","07/18/1997 12:00:00",77,"M","Permanent Home",199707
199707,19,0,1002152,5614487,"D","07/19/1997 12:00:00",84,"M","Permanent Home",199707
199707,20,0,1002154,5614487,"D","07/20/1997 12:00:00",70,"F","Permanent Home",199707
199707,20,0,1002155,5614487,"D","07/20/1997 12:00:00",37,"F","Permanent Home",199707
199707,20,0,1002156,5614487,"D","07/20/1997 12:00:00",83,"M","Permanent Home",199707
199707,20,0,1002157,5614487,"D","07/20/1997 12:00:00",45,"M","Permanent Home",199707
199707,21,0,1002159,5614487,"D","07/21/1997 12:00:00",56,"M","Permanent Home",199707
199707,22,0,1002160,5614487,"D","07/22/1997 12:00:00",50,"F","Permanent Home",199707
199707,22,0,1002161,5614487,"D","07/22/1997 12:00:00",68,"F","Permanent Home",199707
199707,28,0,1002162,5614677,"D","07/28/1997 12:00:00",61,"F","Permanent Home",199707
199707,28,0,1002164,5614678,"D","07/28/1997 12:00:00",34,"F","Permanent Home",199707
199707,31,0,1002165,5614678,"D","07/31/1997 12:00:00",89,"F","Permanent Home",199707
199707,31,0,1002166,5614678,"D","07/31/1997 12:00:00",67,"M","Permanent Home",199707
199707,23,0,1002167,5618233,"D","07/23/1997 12:00:00",24,"M","Outside/Open Areas",199707
199707,18,0,1002180,5617638,"D","07/18/1997 12:00:00",35,"M","Heavy Equipment/Construction",199707
199707,23,0,1001995,5609226,"D","07/23/1997 12:00:00",59,"F","Vehicle/Towed Trailer",199707
199707,23,0,1001997,5609226,"D","07/23/1997 12:00:00",5,"F","Outside/Open Areas",199707
199707,2,0,1001998,5607598,"D","07/02/1997 12:00:00",38,"F","Outside/Open Areas",199707
199707,2,0,1001999,5607601,"D","07/02/1997 12:00:00",36,"F","Mobile/Trailer Home",199707
199707,2,0,1002000,5607705,"D","07/02/1997 12:00:00",42,"F","In Water",199707
199707,2,0,1002001,5607705,"D","07/02/1997 12:00:00",26,"F","In Water",199707
199707,2,0,1002002,5607705,"D","07/02/1997 12:00:00",10,"M","In Water",199707
199707,2,0,1002003,5607705,"D","07/02/1997 12:00:00",1,"M","In Water",199707
199707,2,0,1002004,5607705,"D","07/02/1997 12:00:00",0,"F","In Water",199707
199707,16,0,1002010,5606412,"D","07/16/1997 12:00:00",36,"M","Vehicle/Towed Trailer",199707
199707,26,0,1002011,5607259,"D","07/26/1997 12:00:00",63,"F","Permanent Home",199707
199707,29,0,1002012,5607259,"D","07/29/1997 12:00:00",83,"F","Permanent Home",199707
199707,1,0,1002013,5606635,"D","07/01/1997 12:00:00",23,"M","Outside/Open Areas",199707
199707,8,0,1002014,5607182,"D","07/08/1997 12:00:00",37,"M","Outside/Open Areas",199707
199707,28,0,1002015,5607373,"D","07/28/1997 12:00:00",47,"F","Mobile/Trailer Home",199707
199707,28,0,1002016,5607373,"D","07/28/1997 12:00:00",48,"F","Mobile/Trailer Home",199707
199707,28,0,1002017,5607373,"D","07/28/1997 12:00:00",62,"F","Mobile/Trailer Home",199707
199707,28,0,1002018,5607373,"D","07/28/1997 12:00:00",72,"F","Mobile/Trailer Home",199707
199707,28,0,1002019,5607373,"D","07/28/1997 12:00:00",32,"F","Outside/Open Areas",199707
199707,30,0,1002020,5607516,"D","07/30/1997 12:00:00",27,"M","Under Tree",199707
199707,9,0,1002021,5606575,"D","07/09/1997 12:00:00",12,"M","Outside/Open Areas",199707
199707,18,0,1002023,5607438,"D","07/18/1997 12:00:00",41,"M","In Water",199707
199707,23,0,1002024,5606694,"D","07/23/1997 12:00:00",73,"F","Outside/Open Areas",199707
199707,7,0,1002038,5611726,"D","07/07/1997 12:00:00",39,"M","Outside/Open Areas",199707
